BU,Item Code,Item Name,Principal,Brand,Transportation Cost
PG,6301111001,Shaloot Noodle Coconut 55g (1x30pcs),The Taste Origins,Shaloot,
PG,6301111002,Shaloot Noodle Tom Yum 55g (1x30pcs),The Taste Origins,Shaloot,
PG,6301111003,Shaloot Noodle Chicken Sichat 52g (1x30pcs),The Taste Origins,Shaloot,
PG,0201112028,Ensure Gold (Wheat) 380g (1x24Pcs),Abbott,Ensure,
PG,0201112029,Ensure Gold StrengthPro (Vanilla) 380g (1x24Pcs),Abbott,Ensure,
PG,0201112030,Ensure Gold StrengthPro (Vanilla) 800g (1x12pcs),Abbott,Ensure,
PG,0203112012,Glucerna Powder (Vanilla) 400g (1x24Pcs),Abbott,Glucerna,
PG,1221101010,Active GSM TP 2000,MPT,Top-up,
PG,6201111001,Ayeyarwaddy Peanut Oil 0.25Viss (1x12),Nutripure,Ayeyarwaddy,
PG,6201111002,Ayeyarwaddy Peanut Oil 0.5Viss (1x12),Nutripure,Ayeyarwaddy,
PG,6201111003,Ayeyarwaddy Peanut Oil 1Viss (1x10),Nutripure,Ayeyarwaddy,
PG,6201111004,Ayeyarwaddy Peanut Oil 2Viss (1x6),Nutripure,Ayeyarwaddy,
PG,6201111005,Ayeyarwaddy Peanut Oil 3Viss (1x4),Nutripure,Ayeyarwaddy,
PG,5600000002,Omi Korean Yam Chips Prawn Tomato 35g - MT Pack (1x12pack),Omi Snack,Omi,4000
PG,5600000003,Omi Korean Yam Chips Honey Butter Tomato 35g - MT Pack (1x12pack),Omi Snack,Omi,4000
PG,5601111002,Omi Korean Yam Chips Prawn Tomato 35g (1x10pcsx12pack),Omi Snack,Omi,4000
PG,5601111003,Omi Korean Yam Chips Honey Butter Tomato 35g (1x10pcsx12pack),Omi Snack,Omi,4000
PG,6101111001,Premium Bonito Dashi 150g (1x60Pcs),Xiamen,Premium Dashi,
PG,6101111002,Premium Bonito Dashi 1Kg (1x12Pcs),Xiamen,Premium Dashi,
PG,6101111003,Premium Kombu Dashi 150g (1x60Pcs),Xiamen,Premium Dashi,
PG,6101111004,Premium Kombu Dashi 1Kg (1x12Pcs),Xiamen,Premium Dashi,
PG,3401111010,Maymyo Fresh Classic 20's 500g (1x30Pack),MayMyo Fresh Coffee,Maymyo Fresh,
PG,3401111006,Maymyo Fresh Brown 20's 500g (1x30Pack),MayMyo Fresh Coffee,Maymyo Fresh,
PG,3401111007,Maymyo Fresh Brown 5's 120g (1x120Pack),MayMyo Fresh Coffee,Maymyo Fresh,
PG,3401111008,Maymyo Fresh Classic 5's 120g (1x120Pack),MayMyo Fresh Coffee,Maymyo Fresh,
PG,3401111009,Maymyo Fresh Classic Plus 10's 260g (1x40Pack),MayMyo Fresh Coffee,Maymyo Fresh,
PG,4501111008,Excel Care Dish Washing Liquid Lemon 2Liter (1x6 pcs),Glamdust,Excel Care,
PG,3200000009,May Yee Mon Chicken Congee 25g (1x20 packs) MT pack,Ya Thar Taw Win,May Yee Mon,
PG,6001111003,Mr. Shine Liq Detergent Fresh Blossom 35ml (1x24pcsx10packs),Myat HtarNi,Mr. Shine,
PG,0201112027,Ensure Non-HMB Vanilla 380gm (1x24Pcs),Abbott,Ensure,
PG,5001121001,May Kha Lar Mango Toffee 125g (1x6pcsx32packs),CMP Fruits Garden,May Kha Lar,
PG,5001121002,May Kha Lar Lemon Toffee 125g (1x6pcsx32packs),CMP Fruits Garden,May Kha Lar,
PG,5001121003,May Kha Lar Plum with Ginger Toffee 125g (1x6pcsx32packs),CMP Fruits Garden,May Kha Lar,
PG,5001121004,May Kha Lar Tamarind Toffee 125g (1x6pcsx32packs),CMP Fruits Garden,May Kha Lar,
PG,5001121005,May Kha Lar Mixed Fruit Toffee 125g (1x6pcsx32packs),CMP Fruits Garden,May Kha Lar,
PG,3200000008,May Yee Mon Chicken Congee 25g - MT Pack (1x10x20packs),Ya Thar Taw Win,May Yee Mon,
PG,4000000005,Moshi Potato Chips BBQ Spicy 65g (1x6packs) - MT Pack,Honesty,Moshi,4000
PG,4000000006,Moshi Potato Chips BBQ Original 65g (1x6packs) - MT Pack,Honesty,Moshi,4000
PG,4000000007,Moshi Potato Chips BBQ Prawn 65g (1x6packs) - MT Pack,Honesty,Moshi,4000
